"";"nomHotel";"notapersona";"data";"estrelles";"notaHotel";"TipusHabitacio";"DuradaEstancia";"Nits";"ProcedenciaComentari";"TipusViatge";"Acompanyament";"ViajaConMascota";"Season";"recomanar"
"12";"Hostal Balkonis";9,2;2019-03-17;"2";8,8;"Habitacio Doble";"Dos nits";2;"Enviadopormóvil";"Viajedeocio";"Pareja";"N";"PRIMER TRIMESTRE";0
"13";"Hostal Balkonis";10;2018-10-09;"2";8,8;"Habitacio Doble";"De 3 a 5 Nits";4;"Enviadopormóvil";"Viajedeocio";"Pareja";"N";"QUART TRIMESTRE";0
"14";"Hostal Balkonis";10;2018-09-29;"2";8,8;"Habitacio Triple";"De 3 a 5 Nits";3;"Enviadopormóvil";"SenseInformar";"Pareja";"N";"TERCER TRIMESTRE";0
"15";"Hostal Balkonis";7,5;2018-09-24;"2";8,8;"Altres";"De 3 a 5 Nits";4;"EnviadoporWeb";"Viajedeocio";"Familiaconniños";"N";"TERCER TRIMESTRE";1
"16";"Hostal Balkonis";7,9;2018-09-17;"2";8,8;"Habitacio Doble";"Una Nit";1;"EnviadoporWeb";"Viajedeocio";"Grupo";"N";"TERCER TRIMESTRE";1
"17";"Hostal Balkonis";10;2018-09-04;"2";8,8;"Habitacio Doble";"De 3 a 5 Nits";4;"Enviadopormóvil";"Viajedeocio";"Pareja";"N";"TERCER TRIMESTRE";0
"18";"Hostal Balkonis";8,3;2018-08-26;"2";8,8;"Altres";"De 3 a 5 Nits";5;"EnviadoporWeb";"Viajedenegocios";"Familiaconniños";"N";"TERCER TRIMESTRE";1
"19";"Hostal Balkonis";10;2018-07-13;"2";8,8;"Altres";"De 3 a 5 Nits";4;"Enviadopormóvil";"SenseInformar";"Familiaconniños";"N";"TERCER TRIMESTRE";0
"20";"Hostal Balkonis";8,8;2018-06-29;"2";8,8;"Habitacio Doble";"Dos nits";2;"EnviadoporWeb";"Viajedeocio";"Pareja";"N";"SEGON TRIMESTRE";1
"21";"Hostal Balkonis";5,8;2018-06-26;"2";8,8;"Habitacio Doble";"De 3 a 5 Nits";3;"EnviadoporWeb";"Viajedeocio";"Pareja";"N";"SEGON TRIMESTRE";1
"22";"Hostal Balkonis";9,2;2018-06-23;"2";8,8;"Habitacio Doble";"De 3 a 5 Nits";4;"EnviadoporWeb";"Viajedeocio";"Pareja";"N";"SEGON TRIMESTRE";0
"24";"Hostal Balkonis";10;2018-06-07;"2";8,8;"Altres";"Dos nits";2;"Enviadopormóvil";"Viajedeocio";"Familiaconniños";"N";"SEGON TRIMESTRE";0
"25";"Hostal Balkonis";8,3;2018-05-28;"2";8,8;"Habitacio Doble";"De 3 a 5 Nits";3;"Enviadopormóvil";"Viajedeocio";"Pareja";"N";"SEGON TRIMESTRE";1
"26";"Hostal Balkonis";9,6;2018-05-20;"2";8,8;"Habitacio Doble";"Una Nit";1;"Enviadopormóvil";"SenseInformar";"Personaqueviajasola";"N";"SEGON TRIMESTRE";0
"27";"Hostal Balkonis";7,9;2018-05-16;"2";8,8;"Habitacio Doble";"De 3 a 5 Nits";5;"Enviadopormóvil";"Viajedeocio";"Pareja";"N";"SEGON TRIMESTRE";1
"28";"Hostal Balkonis";7,5;2018-05-13;"2";8,8;"Habitacio Doble";"De 3 a 5 Nits";4;"Enviadopormóvil";"Viajedeocio";"Pareja";"N";"SEGON TRIMESTRE";1
"29";"Hostal Balkonis";10;2018-04-29;"2";8,8;"Habitacio Triple";"Dos nits";2;"EnviadoporWeb";"Viajedeocio";"Familiaconniños";"N";"SEGON TRIMESTRE";0
"30";"Hostal Balkonis";9,2;2018-04-10;"2";8,8;"Habitacio Doble";"De 3 a 5 Nits";3;"EnviadoporWeb";"Viajedeocio";"Pareja";"N";"SEGON TRIMESTRE";0
"31";"Hostal Balkonis";10;2018-04-05;"2";8,8;"Habitacio Doble";"De 3 a 5 Nits";4;"EnviadoporWeb";"Viajedeocio";"Personaqueviajasola";"N";"SEGON TRIMESTRE";0
"32";"Hostal Balkonis";7,9;2018-03-30;"2";8,8;"Habitacio Doble";"De 3 a 5 Nits";3;"Enviadopormóvil";"Viajedeocio";"Pareja";"N";"PRIMER TRIMESTRE";1
"33";"Hostal Balkonis";10;2018-03-28;"2";8,8;"Habitacio Doble";"De 3 a 5 Nits";5;"Enviadopormóvil";"Viajedeocio";"Familiaconniños";"N";"PRIMER TRIMESTRE";0
"34";"Hostal Balkonis";10;2019-02-21;"2";8,8;"Habitacio Doble";"Dos nits";2;"Enviadopormóvil";"Viajedeocio";"Pareja";"N";"PRIMER TRIMESTRE";0
"35";"Hostal Balkonis";9,2;2018-03-27;"2";8,8;"Habitacio Triple";"De 6 a 7 Nits";7;"Enviadopormóvil";"Viajedeocio";"Familiaconniños";"N";"PRIMER TRIMESTRE";0
"36";"Hostal Balkonis";8,8;2018-03-21;"2";8,8;"Habitacio Doble";"De 3 a 5 Nits";3;"EnviadoporWeb";"Viajedenegocios";"Pareja";"N";"PRIMER TRIMESTRE";1
"37";"Hostal Balkonis";8,8;2018-03-16;"2";8,8;"Habitacio Doble";"Una Nit";1;"Enviadopormóvil";"Viajedeocio";"Pareja";"N";"PRIMER TRIMESTRE";1
"38";"Hostal Balkonis";10;2018-03-11;"2";8,8;"Habitacio Individual";"Dos nits";2;"Enviadopormóvil";"Viajedeocio";"Personaqueviajasola";"N";"PRIMER TRIMESTRE";0
"39";"Hostal Balkonis";8,3;2018-03-06;"2";8,8;"Habitacio Triple";"Una Nit";1;"Enviadopormóvil";"Viajedeocio";"Familiaconniños";"N";"PRIMER TRIMESTRE";1
"40";"Hostal Balkonis";10;2018-03-05;"2";8,8;"Habitacio Doble";"Dos nits";2;"EnviadoporWeb";"Viajedeocio";"Pareja";"N";"PRIMER TRIMESTRE";0
"41";"Hostal Balkonis";9,2;2018-02-22;"2";8,8;"Habitacio Doble";"Dos nits";2;"Enviadopormóvil";"SenseInformar";"Personaqueviajasola";"N";"PRIMER TRIMESTRE";0
"42";"Hostal Balkonis";9,6;2018-02-12;"2";8,8;"Habitacio Doble";"Una Nit";1;"EnviadoporWeb";"Viajedenegocios";"Familiaconniños";"N";"PRIMER TRIMESTRE";0
"43";"Hostal Balkonis";10;2018-02-12;"2";8,8;"Habitacio Individual";"De 3 a 5 Nits";3;"EnviadoporWeb";"SenseInformar";"Personaqueviajasola";"N";"PRIMER TRIMESTRE";0
"44";"Hostal Balkonis";10;2018-02-06;"2";8,8;"Altres";"Dos nits";2;"Enviadopormóvil";"SenseInformar";"Familiaconniños";"N";"PRIMER TRIMESTRE";0
"45";"Hostal Balkonis";9,2;2019-02-17;"2";8,8;"Altres";"Dos nits";2;"Enviadopormóvil";"Viajedeocio";"Familiaconniños";"N";"PRIMER TRIMESTRE";0
"46";"Hostal Balkonis";7,9;2018-02-04;"2";8,8;"Habitacio Doble";"De 3 a 5 Nits";3;"Enviadopormóvil";"Viajedeocio";"Pareja";"N";"PRIMER TRIMESTRE";1
"47";"Hostal Balkonis";9,2;2018-01-28;"2";8,8;"Habitacio Doble";"De 3 a 5 Nits";3;"EnviadoporWeb";"Viajedeocio";"Grupo";"N";"PRIMER TRIMESTRE";0
"48";"Hostal Balkonis";9,6;2018-01-25;"2";8,8;"Habitacio Doble";"Dos nits";2;"EnviadoporWeb";"Viajedeocio";"Pareja";"N";"PRIMER TRIMESTRE";0
"49";"Hostal Balkonis";8,8;2018-01-22;"2";8,8;"Habitacio Doble";"Dos nits";2;"Enviadopormóvil";"Viajedeocio";"Pareja";"N";"PRIMER TRIMESTRE";1
"50";"Hostal Balkonis";7,9;2017-12-09;"2";8,8;"Habitacio Doble";"Una Nit";1;"EnviadoporWeb";"Viajedeocio";"Grupo";"N";"QUART TRIMESTRE";1
"51";"Hostal Balkonis";10;2017-12-09;"2";8,8;"Habitacio Doble";"Dos nits";2;"Enviadopormóvil";"Viajedeocio";"Pareja";"N";"QUART TRIMESTRE";0
"53";"Hostal Balkonis";9,2;2017-12-04;"2";8,8;"Habitacio Doble";"Dos nits";2;"Enviadopormóvil";"Viajedeocio";"Grupodeamigos";"N";"QUART TRIMESTRE";0
"54";"Hostal Balkonis";6,7;2017-11-30;"2";8,8;"Habitacio Doble";"De 3 a 5 Nits";4;"Enviadopormóvil";"Viajedeocio";"Pareja";"N";"QUART TRIMESTRE";1
"55";"Hostal Balkonis";9,2;2017-11-28;"2";8,8;"Habitacio Doble";"De 3 a 5 Nits";3;"EnviadoporWeb";"Viajedeocio";"Pareja";"N";"QUART TRIMESTRE";0
"56";"Hostal Balkonis";10;2019-02-12;"2";8,8;"Habitacio Doble";"De 3 a 5 Nits";3;"Enviadopormóvil";"Viajedeocio";"Grupo";"N";"PRIMER TRIMESTRE";0
"57";"Hostal Balkonis";10;2017-11-24;"2";8,8;"Habitacio Doble";"De 3 a 5 Nits";3;"Enviadopormóvil";"SenseInformar";"Pareja";"N";"QUART TRIMESTRE";0
"58";"Hostal Balkonis";8,3;2017-11-20;"2";8,8;"Habitacio Doble";"Una Nit";1;"EnviadoporWeb";"Viajedeocio";"Pareja";"N";"QUART TRIMESTRE";1
"59";"Hostal Balkonis";7,1;2017-11-13;"2";8,8;"Habitacio Doble";"De 3 a 5 Nits";5;"EnviadoporWeb";"Viajedeocio";"Pareja";"N";"QUART TRIMESTRE";1
"60";"Hostal Balkonis";9,6;2017-11-11;"2";8,8;"Habitacio Individual";"De 3 a 5 Nits";3;"Enviadopormóvil";"Viajedeocio";"Personaqueviajasola";"N";"QUART TRIMESTRE";0
"61";"Hostal Balkonis";10;2017-11-09;"2";8,8;"Habitacio Doble";"Estanciade6noches";6;"Enviadopormóvil";"Viajedeocio";"Pareja";"N";"QUART TRIMESTRE";0
"63";"Hostal Balkonis";9,2;2017-10-19;"2";8,8;"Habitacio Doble";"De 3 a 5 Nits";5;"EnviadoporWeb";"Viajedeocio";"Pareja";"N";"QUART TRIMESTRE";0
"64";"Hostal Balkonis";9,6;2017-10-08;"2";8,8;"Habitacio Doble";"Estanciade6noches";6;"Enviadopormóvil";"Viajedeocio";"Familiaconniños";"N";"QUART TRIMESTRE";0
"65";"Hostal Balkonis";8,3;2017-09-22;"2";8,8;"Habitacio Triple";"Una Nit";1;"EnviadoporWeb";"Viajedenegocios";"Familiaconniños";"N";"TERCER TRIMESTRE";1
"66";"Hostal Balkonis";9,6;2017-08-29;"2";8,8;"Habitacio Doble";"De 3 a 5 Nits";4;"Enviadopormóvil";"Viajedeocio";"Pareja";"N";"TERCER TRIMESTRE";0
"67";"Hostal Balkonis";8,3;2019-02-04;"2";8,8;"Altres";"Dos nits";2;"Enviadopormóvil";"Viajedeocio";"Grupodeamigos";"N";"PRIMER TRIMESTRE";1
"69";"Hostal Balkonis";8,8;2017-08-21;"2";8,8;"Habitacio Individual";"De 3 a 5 Nits";3;"Enviadopormóvil";"Viajedeocio";"Personaqueviajasola";"N";"TERCER TRIMESTRE";1
"70";"Hostal Balkonis";9,2;2017-07-20;"2";8,8;"Habitacio Doble";"De 3 a 5 Nits";5;"Enviadopormóvil";"Viajedeocio";"Pareja";"N";"TERCER TRIMESTRE";0
"71";"Hostal Balkonis";9,6;2017-05-28;"2";8,8;"Altres";"De 3 a 5 Nits";4;"Enviadopormóvil";"Viajedeocio";"Familiaconniños";"N";"SEGON TRIMESTRE";0
"72";"Hostal Balkonis";5,8;2017-05-18;"2";8,8;"Habitacio Doble";"De 3 a 5 Nits";4;"Enviadopormóvil";"Viajedeocio";"Pareja";"N";"SEGON TRIMESTRE";1
"73";"Hostal Balkonis";10;2017-05-02;"2";8,8;"Habitacio Doble";"De 3 a 5 Nits";4;"Enviadopormóvil";"Viajedeocio";"Pareja";"N";"SEGON TRIMESTRE";0
"74";"Hostal Balkonis";7,5;2019-02-02;"2";8,8;"Altres";"De 3 a 5 Nits";3;"Enviadopormóvil";"Viajedeocio";"Familiaconniños";"N";"PRIMER TRIMESTRE";1
"75";"Hostal Balkonis";10;2019-01-30;"2";8,8;"Habitacio Doble";"De 3 a 5 Nits";3;"Enviadopormóvil";"Viajedeocio";"Pareja";"N";"PRIMER TRIMESTRE";0
"76";"Hostal Balkonis";9,6;2019-04-11;"2";8,8;"Habitacio Doble";"Dos nits";2;"Enviadopormóvil";"Viajedenegocios";"Personaqueviajasola";"N";"SEGON TRIMESTRE";0
"77";"Hostal Balkonis";6,7;2019-03-09;"2";8,8;"Habitacio Doble";"De 3 a 5 Nits";3;"Enviadopormóvil";"Viajedeocio";"Pareja";"N";"PRIMER TRIMESTRE";1
"78";"Hostal Balkonis";10;2019-03-05;"2";8,8;"Habitacio Doble";"Dos nits";2;"Enviadopormóvil";"Viajedeocio";"Grupodeamigos";"N";"PRIMER TRIMESTRE";0
"79";"Hostal Balkonis";8,8;2019-03-04;"2";8,8;"Habitacio Doble";"Dos nits";2;"Enviadopormóvil";"Viajedeocio";"Grupo";"N";"PRIMER TRIMESTRE";1
"80";"Hostal Balkonis";10;2019-02-24;"2";8,8;"Habitacio Doble";"Una Nit";1;"Enviadopormóvil";"SenseInformar";"Pareja";"N";"PRIMER TRIMESTRE";0
"81";"Hostal Balkonis";8,8;2019-02-15;"2";8,8;"Habitacio Doble";"Una Nit";1;"Enviadopormóvil";"Viajedeocio";"Pareja";"N";"PRIMER TRIMESTRE";1
"82";"Hostal Balkonis";7,9;2019-02-14;"2";8,8;"Habitacio Doble";"Dos nits";2;"EnviadoporWeb";"Viajedeocio";"Personaqueviajasola";"N";"PRIMER TRIMESTRE";1
"83";"Hostal Balkonis";7,9;2019-02-11;"2";8,8;"Altres";"De 3 a 5 Nits";4;"Enviadopormóvil";"Viajedeocio";"Familiaconniños";"N";"PRIMER TRIMESTRE";1
"84";"Hostal Balkonis";8,8;2019-02-11;"2";8,8;"Habitacio Doble";"Una Nit";1;"Enviadopormóvil";"Viajedeocio";"Personaqueviajasola";"N";"PRIMER TRIMESTRE";1
"85";"Hostal Balkonis";10;2019-02-11;"2";8,8;"Habitacio Doble";"Estanciade6noches";6;"EnviadoporWeb";"Viajedeocio";"Pareja";"N";"PRIMER TRIMESTRE";0
"86";"Hostal Balkonis";10;2019-02-06;"2";8,8;"Habitacio Doble";"Dos nits";2;"Enviadopormóvil";"Viajedeocio";"Pareja";"N";"PRIMER TRIMESTRE";0
"87";"Hostal Balkonis";8,8;2019-04-09;"2";8,8;"Habitacio Doble";"Una Nit";1;"Enviadopormóvil";"SenseInformar";"Pareja";"N";"SEGON TRIMESTRE";1
"88";"Hostal Balkonis";7,9;2019-01-29;"2";8,8;"Altres";"De 3 a 5 Nits";3;"Enviadopormóvil";"Viajedeocio";"Familiaconniños";"N";"PRIMER TRIMESTRE";1
"89";"Hostal Balkonis";9,2;2019-01-27;"2";8,8;"Habitacio Doble";"Dos nits";2;"Enviadopormóvil";"Viajedeocio";"Pareja";"N";"PRIMER TRIMESTRE";0
"90";"Hostal Balkonis";9,2;2019-01-13;"2";8,8;"Habitacio Doble";"De 3 a 5 Nits";4;"Enviadopormóvil";"Viajedeocio";"Pareja";"N";"PRIMER TRIMESTRE";0
"91";"Hostal Balkonis";7,1;2019-01-03;"2";8,8;"Habitacio Triple";"Dos nits";2;"Enviadopormóvil";"SenseInformar";"Familiaconniños";"N";"PRIMER TRIMESTRE";1
"92";"Hostal Balkonis";7,9;2018-12-14;"2";8,8;"Habitacio Doble";"Una Nit";1;"Enviadopormóvil";"SenseInformar";"Pareja";"N";"QUART TRIMESTRE";1
"93";"Hostal Balkonis";9,6;2018-12-10;"2";8,8;"Habitacio Doble";"De 3 a 5 Nits";3;"Enviadopormóvil";"Viajedeocio";"Pareja";"N";"QUART TRIMESTRE";0
"94";"Hostal Balkonis";7,9;2018-12-10;"2";8,8;"Habitacio Doble";"De 6 a 7 Nits";7;"Enviadopormóvil";"Viajedeocio";"Pareja";"N";"QUART TRIMESTRE";1
"95";"Hostal Balkonis";10;2018-12-05;"2";8,8;"Habitacio Doble";"Una Nit";1;"Enviadopormóvil";"SenseInformar";"Grupo";"N";"QUART TRIMESTRE";0
"96";"Hostal Balkonis";8,8;2018-11-20;"2";8,8;"Habitacio Doble";"Dos nits";2;"Enviadopormóvil";"Viajedeocio";"Pareja";"N";"QUART TRIMESTRE";1
"97";"Hostal Balkonis";10;2018-11-14;"2";8,8;"Altres";"Dos nits";2;"Enviadopormóvil";"Viajedenegocios";"Grupo";"N";"QUART TRIMESTRE";0
"98";"Hostal Balkonis";8,8;2019-04-05;"2";8,8;"Habitacio Triple";"De 3 a 5 Nits";3;"Enviadopormóvil";"Viajedeocio";"Familiaconniños";"N";"SEGON TRIMESTRE";1
"99";"Hostal Balkonis";10;2018-11-10;"2";8,8;"Habitacio Doble";"De 3 a 5 Nits";3;"Enviadopormóvil";"Viajedeocio";"Personaqueviajasola";"N";"QUART TRIMESTRE";0
"100";"Hostal Balkonis";8,3;2018-11-09;"2";8,8;"Habitacio Doble";"De 3 a 5 Nits";3;"EnviadoporWeb";"Viajedeocio";"Pareja";"N";"QUART TRIMESTRE";1
"101";"Hostal Balkonis";7,5;2018-10-28;"2";8,8;"Habitacio Triple";"Dos nits";2;"Enviadopormóvil";"Viajedeocio";"Pareja";"N";"QUART TRIMESTRE";1
"102";"Hostal Balkonis";10;2018-10-07;"2";8,8;"Altres";"Una Nit";1;"Enviadopormóvil";"Viajedeocio";"Personaqueviajasola";"N";"QUART TRIMESTRE";0
"103";"Hostal Balkonis";10;2018-09-07;"2";8,8;"Habitacio Triple";"Dos nits";2;"Enviadopormóvil";"Viajedeocio";"Familiaconniños";"N";"TERCER TRIMESTRE";0
"105";"Hostal Balkonis";8,8;2018-08-01;"2";8,8;"Altres";"Dos nits";2;"EnviadoporWeb";"Viajedeocio";"Familiaconniños";"N";"TERCER TRIMESTRE";1
"106";"Hostal Balkonis";9,2;2018-07-18;"2";8,8;"Habitacio Doble";"De 3 a 5 Nits";3;"Enviadopormóvil";"Viajedeocio";"Pareja";"N";"TERCER TRIMESTRE";0
"107";"Hostal Balkonis";7,5;2018-07-17;"2";8,8;"Habitacio Doble";"De 3 a 5 Nits";5;"EnviadoporWeb";"Viajedeocio";"Pareja";"N";"TERCER TRIMESTRE";1
"108";"Hostal Balkonis";10;2018-07-17;"2";8,8;"Altres";"Una Nit";1;"Enviadopormóvil";"SenseInformar";"Familiaconniños";"N";"TERCER TRIMESTRE";0
"109";"Hostal Balkonis";9,2;2019-03-29;"2";8,8;"Habitacio Doble";"De 3 a 5 Nits";3;"EnviadoporWeb";"Viajedeocio";"Pareja";"N";"PRIMER TRIMESTRE";0
"110";"Hostal Balkonis";7,5;2018-07-13;"2";8,8;"Habitacio Doble";"De 3 a 5 Nits";5;"Enviadopormóvil";"Viajedeocio";"Grupodeamigos";"N";"TERCER TRIMESTRE";1
"111";"Hostal Balkonis";9,6;2018-07-13;"2";8,8;"Habitacio Doble";"Dos nits";2;"Enviadopormóvil";"SenseInformar";"Pareja";"N";"TERCER TRIMESTRE";0
"112";"Hostal Balkonis";7,9;2018-07-07;"2";8,8;"Habitacio Triple";"De 3 a 5 Nits";4;"Enviadopormóvil";"Viajedeocio";"Familiaconniños";"N";"TERCER TRIMESTRE";1
"113";"Hostal Balkonis";7,9;2018-06-22;"2";8,8;"Habitacio Doble";"De 3 a 5 Nits";5;"Enviadopormóvil";"Viajedeocio";"Pareja";"N";"SEGON TRIMESTRE";1
"114";"Hostal Balkonis";8,3;2018-06-15;"2";8,8;"Habitacio Doble";"Una Nit";1;"Enviadopormóvil";"Viajedeocio";"Pareja";"N";"SEGON TRIMESTRE";1
"115";"Hostal Balkonis";10;2018-06-12;"2";8,8;"Habitacio Doble";"De 3 a 5 Nits";4;"Enviadopormóvil";"Viajedeocio";"Pareja";"N";"SEGON TRIMESTRE";0
"116";"Hostal Balkonis";6,3;2018-06-07;"2";8,8;"Habitacio Doble";"De 3 a 5 Nits";4;"EnviadoporWeb";"Viajedeocio";"Pareja";"N";"SEGON TRIMESTRE";1
"117";"Hostal Balkonis";10;2018-06-03;"2";8,8;"Altres";"Dos nits";2;"Enviadopormóvil";"Viajedeocio";"Personaqueviajasola";"N";"SEGON TRIMESTRE";0
"118";"Hostal Balkonis";10;2018-05-28;"2";8,8;"Habitacio Doble";"Dos nits";2;"EnviadoporWeb";"Viajedeocio";"Personaqueviajasola";"N";"SEGON TRIMESTRE";0
"119";"Hostal Balkonis";9,2;2018-05-24;"2";8,8;"Habitacio Doble";"De 3 a 5 Nits";5;"Enviadopormóvil";"Viajedeocio";"Pareja";"N";"SEGON TRIMESTRE";0
"120";"Hostal Balkonis";10;2019-03-29;"2";8,8;"Altres";"Dos nits";2;"Enviadopormóvil";"Viajedeocio";"Grupo";"N";"PRIMER TRIMESTRE";0
"121";"Hostal Balkonis";7,9;2018-05-16;"2";8,8;"Habitacio Doble";"De 3 a 5 Nits";5;"Enviadopormóvil";"Viajedeocio";"Familiaconniños";"N";"SEGON TRIMESTRE";1
"122";"Hostal Balkonis";7,5;2018-05-14;"2";8,8;"Habitacio Doble";"Dos nits";2;"Enviadopormóvil";"Viajedeocio";"Pareja";"N";"SEGON TRIMESTRE";1
"123";"Hostal Balkonis";6,7;2018-05-12;"2";8,8;"Altres";"De 3 a 5 Nits";4;"Enviadopormóvil";"Viajedeocio";"Familiaconniños";"N";"SEGON TRIMESTRE";1
"124";"Hostal Balkonis";7,5;2018-05-08;"2";8,8;"Habitacio Doble";"Una Nit";1;"Enviadopormóvil";"Viajedeocio";"Pareja";"N";"SEGON TRIMESTRE";1
"125";"Hostal Balkonis";8,8;2018-04-24;"2";8,8;"Altres";"De 3 a 5 Nits";3;"EnviadoporWeb";"Viajedeocio";"Grupo";"N";"SEGON TRIMESTRE";1
"126";"Hostal Balkonis";7,5;2018-04-21;"2";8,8;"Altres";"De 3 a 5 Nits";4;"Enviadopormóvil";"Viajedenegocios";"Grupo";"N";"SEGON TRIMESTRE";1
"127";"Hostal Balkonis";10;2018-04-15;"2";8,8;"Habitacio Triple";"Dos nits";2;"Enviadopormóvil";"Viajedeocio";"Familiaconniños";"N";"SEGON TRIMESTRE";0
"128";"Hostal Balkonis";7,5;2018-04-08;"2";8,8;"Habitacio Triple";"Dos nits";2;"Enviadopormóvil";"Viajedeocio";"Familiaconniños";"N";"SEGON TRIMESTRE";1
"129";"Hostal Balkonis";8,3;2018-04-08;"2";8,8;"Habitacio Triple";"De 3 a 5 Nits";3;"Enviadopormóvil";"Viajedeocio";"Familiaconniños";"N";"SEGON TRIMESTRE";1
"130";"Hostal Balkonis";9,6;2018-03-30;"2";8,8;"Habitacio Doble";"Una Nit";1;"Enviadopormóvil";"Viajedeocio";"Pareja";"N";"PRIMER TRIMESTRE";0
"131";"Hostal Balkonis";10;2019-03-28;"2";8,8;"Habitacio Triple";"Una Nit";1;"Enviadopormóvil";"Viajedeocio";"Familiaconniños";"N";"PRIMER TRIMESTRE";0
"132";"Hostal Balkonis";9,6;2018-03-30;"2";8,8;"Altres";"De 3 a 5 Nits";3;"Enviadopormóvil";"Viajedeocio";"Familiaconniños";"N";"PRIMER TRIMESTRE";0
"133";"Hostal Balkonis";8,3;2018-03-22;"2";8,8;"Habitacio Individual";"De 3 a 5 Nits";3;"Enviadopormóvil";"SenseInformar";"Personaqueviajasola";"N";"PRIMER TRIMESTRE";1
"134";"Hostal Balkonis";7,5;2018-03-20;"2";8,8;"Habitacio Doble";"Dos nits";2;"Enviadopormóvil";"Viajedeocio";"Grupo";"N";"PRIMER TRIMESTRE";1
"135";"Hostal Balkonis";8,8;2018-03-09;"2";8,8;"Habitacio Doble";"Una Nit";1;"Enviadopormóvil";"Viajedeocio";"Familiaconniños";"N";"PRIMER TRIMESTRE";1
"136";"Hostal Balkonis";9,6;2018-03-06;"2";8,8;"Habitacio Doble";"Dos nits";2;"EnviadoporWeb";"Viajedenegocios";"Personaqueviajasola";"N";"PRIMER TRIMESTRE";0
"137";"Hostal Balkonis";7,9;2018-02-26;"2";8,8;"Habitacio Doble";"Dos nits";2;"Enviadopormóvil";"Viajedeocio";"Pareja";"N";"PRIMER TRIMESTRE";1
"138";"Hostal Balkonis";7,9;2018-02-23;"2";8,8;"Habitacio Doble";"De 3 a 5 Nits";3;"Enviadopormóvil";"Viajedeocio";"Familiaconniños";"N";"PRIMER TRIMESTRE";1
"139";"Hostal Balkonis";10;2018-02-19;"2";8,8;"Altres";"Dos nits";2;"EnviadoporWeb";"Viajedeocio";"Familiaconniños";"N";"PRIMER TRIMESTRE";0
"140";"Hostal Balkonis";10;2018-02-16;"2";8,8;"Habitacio Doble";"Una Nit";1;"Enviadopormóvil";"Viajedeocio";"Pareja";"N";"PRIMER TRIMESTRE";0
"141";"Hostal Balkonis";10;2018-02-15;"2";8,8;"Habitacio Triple";"De 3 a 5 Nits";3;"EnviadoporWeb";"Viajedeocio";"Familiaconniños";"N";"PRIMER TRIMESTRE";0
"142";"Hostal Balkonis";9,2;2019-03-18;"2";8,8;"Habitacio Doble";"Dos nits";2;"Enviadopormóvil";"Viajedeocio";"Personaqueviajasola";"N";"PRIMER TRIMESTRE";0
"143";"Hostal Balkonis";10;2018-02-14;"2";8,8;"Habitacio Doble";"Dos nits";2;"EnviadoporWeb";"Viajedenegocios";"Personaqueviajasola";"N";"PRIMER TRIMESTRE";0
